count_words,count_mentions,count_hashtags,count_capital_words,count_excl_quest_marks,count_urls,Sentiment,clean_text,clean_count_words
20,1,0,0,0,0,1,get swype iphon crack iphon,5
13,1,0,0,0,0,1,ad carrier support iphon announc,5
22,2,0,0,1,1,1,hilari video guy duet siri pretti much sum love affair http co exbnqji,13
15,2,0,1,1,0,1,made easi switch iphon see ya,6
14,1,0,0,0,0,1,realiz reason got twitter io thank,6
19,4,0,0,1,0,1,current user littl bit disappoint move,6
27,2,0,1,1,1,1,strangest thing siri said far sooo glad gave siri sens humor http co twaeudbp via,15
11,1,0,0,1,0,1,great close person event tonight regent st store,8
15,2,0,0,1,0,1,compani experi best custom servic asid,6
12,1,0,0,0,0,1,appli job hope call lol,5
24,2,0,2,4,0,1,rt lmao think onto someth magic die haha siri suggest find whore,12
25,1,0,1,4,0,1,lmao think onto someth magic die haha siri suggest find whore hide bodi lolol,14
20,2,0,1,1,0,1,rt regist develop hope actual help greatli appreci,8
24,1,1,1,0,1,1,wow great deal refurb ipad first gen model rt appl offer great deal refurbish st gen ipad http co ukwokbgd,20
18,1,0,0,1,0,1,regist develop hope actual help greatli appreci,7
23,1,0,0,1,0,1,你好 current learn mandarin upcom trip hong kong got ta hand iphon uber use flashcard app ,16
23,2,1,0,0,0,1,come dark side mobilephon hey send free iphon publicli ceremoni burn blackberri,12
21,1,1,0,0,0,1,hey send free iphon version publicli ceremoni burn blackberri,9
16,1,2,0,0,0,1,thank find mac locat wipe stolen air smallvictori thievingbastard,9
21,1,1,0,0,0,1,thank covent garden geniusbar replac macbook keyboard crack wristpad lunch break today warranti,13
3,2,0,0,2,0,1,thank,1
16,2,0,0,0,1,1,ipad replac bound playbook team http co uxawkwf,8
3,1,0,0,0,0,1,good ipad,2
5,2,0,0,2,0,1,eff amaz,2
10,1,0,0,0,1,1,amaz new io featur http co jatfvfpm,7
21,2,0,1,1,1,1,rt one featur educ app websit today sweet http co ywvbez,11
19,1,0,0,1,1,1,one featur educ app websit today sweet http co ywvbez,10
22,1,1,1,0,0,1,want someth done right go useless day yourdaysarenumb ,8
21,2,2,0,0,0,1,unexpect workshop iphon yesterday got awesom amount info notjustaboutthephon,9
4,1,1,0,0,0,1,lt io,2
16,2,0,3,1,0,1,rt no question bro rt get di iphon evo,9
26,1,1,2,0,0,1,rt peopl bitch iphon think smartest phone ever happi,9
28,1,1,1,1,0,1,peopl bitch iphon think smartest phone ever happi way go,10
16,3,0,1,0,1,1,ceo point corpor mentor signup tripl http co gcyiphn,9
8,1,0,0,0,0,1,bu iphon thxx,3
20,3,0,0,0,0,1,appstor well done itun mobil devic talk desktop app,9
29,2,2,1,0,1,1,nytim coach want see bring ipad http co jftieng ipad set red red hut hut wish ipad,17
22,3,2,1,1,0,1,appl sell million iphon unit first weekend steve job brillianc live ever iphon rva,14
25,2,2,0,1,0,1,like titan seem everyon run iphon life raft enough everyon,10
5,2,0,0,0,0,1,apolog,1
14,1,0,0,0,1,1,download io prove popular user http co nshlfiux,8
15,2,0,0,2,1,1,lmfao look argument siri http co dvjlsi,7
20,1,1,0,0,1,1,incred million iphon ss day better iphon http co fmjxtmm iphon,11
24,1,4,2,3,1,1,save hp unwant os help buy iphon seen light lol http co gupacz backchannel,14
20,1,1,0,0,0,1,well fix io batteri drain problem replac iphon work like champ,11
24,1,0,4,3,0,1,current order brand new macbook pro bahhh macbook year old miss time cc,13
5,1,0,0,0,0,1,bless,1
13,1,1,0,0,0,1,siri know dad mom brother girlfriend thank,7
12,1,1,0,1,0,1,well least store amaz call wait music need,8
9,1,3,0,0,0,1,sweet appl replac glass probono thank,6
20,2,3,1,1,1,1,not bad sell million iphon debut weekend bloomberg http co avslygu smartphon sm rt,14
14,1,1,0,0,0,1,love new technolog iphon mac air icloud unreal technolog,9
8,1,0,0,0,0,1,love new io updat,4
21,2,0,1,0,1,1,anoth mention appl store http co fiioapkt rt get great custom servic store,13
24,1,0,0,0,0,1,time go get iphon look forward stick man no longer pay text thank,13
16,1,1,0,0,0,1,hey hate comput need mack wan na send free one,10
12,1,0,0,2,0,1,thank new gf iphon great everyth,6
14,1,1,0,1,0,1,icloud set flawless work like champ cloud,7
17,3,0,0,1,0,1,total email compani alway get great servic store,8
9,1,0,0,1,0,1,love new io upgrad iphon,5
10,1,0,0,0,0,1,nice tech support guy fix itouch,6
13,1,0,0,0,0,1,get great custom servic store millenia mall,7
12,1,1,0,1,0,1,io faster ipad,3
18,1,1,0,1,0,1,love imac even though seen hubbi day geek,8
17,2,4,0,0,1,1,make switch iphon iphon smartphon stevejob appl store http co kjpjvkh,11
23,1,0,1,4,0,1,thank incred peopl go beyond offer replac water damag macbook pro wow,12
6,1,0,0,0,0,1,new macbook sick,3
18,1,2,0,0,1,1,play man love camera iphon well done fb http co tmdfqre,11
10,1,3,0,0,0,1,yeah io readinglist chang life nowicanspendevenmoretimeonmyphon,6
7,1,0,0,0,0,1,safari reader own worldwid web,5
23,1,0,0,0,0,1,love servic case crack go hand case walk,8
10,8,1,0,0,0,1,twitterpeopleiwouldliketomeet,1
28,1,0,0,1,1,1,said laid next year job last iphon not iphon iphon magic http co dxxklubp,14
26,1,1,0,0,0,1,kind excit way last class right go store buy macosc snow leopard lion,13
25,2,1,0,0,0,1,use yr disrupt lost gig thx servic im move iphon,10
25,1,0,0,1,1,1,appl sell million iphon day keep well http co zzcbew,10
19,1,0,0,1,0,1,yessss lovin iphon updat especi slide bar top screen good job,11
16,1,1,0,5,0,1,million weekend iphon per second mad no,7
22,1,1,0,0,0,1,got invest macbook pro next year time get sell android gear,11
8,2,0,0,1,0,1,like,1
13,1,1,0,0,0,1,sent grandma post card use cardsapp thank,7
23,2,0,0,1,0,1,put wash kind equival blend glad hear still aliv,9
23,1,0,0,11,0,1,launder ari iphon not finest moment dri bag organ rice day boot,12
6,1,0,0,1,1,1,bravo http co bgotzjk,4
17,4,2,2,0,0,1,god bless appletv bad ass system love princessofchina gb,9
23,1,0,0,0,0,1,twitter day smash iphon nice gave new one,8
18,1,0,0,0,0,1,thank io email pop lock screen open unlock,8
19,2,1,1,0,1,1,one word wow rt iphon first weekend sale top four million http co zxpwgt via,15
17,1,0,1,0,0,1,good iphon well today thank god,6
23,2,1,1,1,0,1,rt love io easter egg pull middl top bottom see pull awesom littl featur io,15
21,1,1,0,1,0,1,love io easter egg pull middl top bottom see pull awesom littl featur io,14
21,1,2,0,1,0,1,love io easter egg pull middl top bottom see pull awesom littl featur lovemyiphon,14
18,1,1,0,0,0,1,updat io start use cloud servic pretti bad ass iphon gs still champ,13
14,1,1,0,0,0,1,gone run beauti morn man love io iphon,8
5,1,0,0,0,0,1,simpli best,2
26,1,1,0,4,0,1,must admit made happi camper text tone lol ring tone makemeproud drake ver text tone nicki,16
22,1,1,1,0,0,1,day thank great custom servic receiv today via phone cs new phone way daysofgr,14
10,1,0,0,0,0,1,replac phone free,3
